idade,renda_anual,situacao_moradia,tempo_emprego_anos,motivo_emprestimo,nota_risco,valor_emprestimo,taxa_juros,inadimplencia,comprometimento_renda%,historico_inadimplencia,anos_historico_credito,renda_mensal,faixa_etaria
22,59000,Aluguel,4,Pessoal,D,35000,16.02,Inadimplente,0.59,S,3,4917,Até 25 anos
21,9600,Própria,5,Educação,B,1000,11.14,Não Inadimplente,0.1,N,2,800,Até 25 anos
25,9600,Financiada,1,Saúde,C,5500,12.87,Inadimplente,0.57,N,3,800,Até 25 anos
23,65500,Aluguel,4,Saúde,C,35000,15.23,Inadimplente,0.53,N,2,5458,Até 25 anos
24,54400,Aluguel,8,Saúde,C,35000,14.27,Inadimplente,0.55,S,4,4533,Até 25 anos
21,9900,Própria,2,Empreendimento,A,2500,7.14,Inadimplente,0.25,N,2,825,Até 25 anos
26,77100,Aluguel,8,Educação,B,35000,12.42,Inadimplente,0.45,N,3,6425,26-35 anos
24,78956,Aluguel,5,Saúde,B,35000,11.11,Inadimplente,0.44,N,4,6580,Até 25 anos
24,83000,Aluguel,8,Pessoal,A,35000,8.9,Inadimplente,0.42,N,2,6917,Até 25 anos
21,10000,Própria,6,Empreendimento,D,1600,14.74,Inadimplente,0.16,N,3,833,Até 25 anos
22,85000,Aluguel,6,Empreendimento,B,35000,10.37,Inadimplente,0.41,N,4,7083,Até 25 anos
21,10000,Própria,2,Reforma,A,4500,8.63,Inadimplente,0.45,N,2,833,Até 25 anos
23,95000,Aluguel,2,Empreendimento,A,35000,7.9,Inadimplente,0.37,N,2,7917,Até 25 anos
26,108160,Aluguel,4,Educação,E,35000,18.39,Inadimplente,0.32,N,4,9013,26-35 anos
23,115000,Aluguel,2,Educação,A,35000,7.9,Não Inadimplente,0.3,N,4,9583,Até 25 anos
23,500000,Financiada,7,Consolidação de Dividas,B,30000,10.65,Não Inadimplente,0.06,N,3,41667,Até 25 anos
23,120000,Aluguel,0,Educação,A,35000,7.9,Não Inadimplente,0.29,N,4,10000,Até 25 anos
23,92111,Aluguel,7,Saúde,F,35000,20.25,Inadimplente,0.32,N,4,7676,Até 25 anos
23,113000,Aluguel,8,Consolidação de Dividas,D,35000,18.25,Inadimplente,0.31,N,4,9417,Até 25 anos
24,10800,Financiada,8,Educação,B,1750,10.99,Inadimplente,0.16,N,2,900,Até 25 anos
25,162500,Aluguel,2,Empreendimento,A,35000,7.49,Não Inadimplente,0.22,N,4,13542,Até 25 anos
25,137000,Aluguel,9,Pessoal,E,34800,16.77,Não Inadimplente,0.25,S,2,11417,Até 25 anos
22,65000,Aluguel,4,Educação,D,34000,17.58,Inadimplente,0.52,N,4,5417,Até 25 anos
24,10980,Própria,0,Pessoal,A,1500,7.29,Não Inadimplente,0.14,N,3,915,Até 25 anos
22,80000,Aluguel,3,Pessoal,D,33950,14.54,Inadimplente,0.42,S,4,6667,Até 25 anos
